tarotCard,cardLabel,golemNarrativeType,textualAnchor
http://w3id.org/italo/data/cinque-di-denari,Cinque di Denari,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation,spreco d'energie e di beni
http://w3id.org/italo/data/la-luna,La Luna,https://w3id.org/golem/ontologyG13_Narrative_Location,una terra oramai lunare
http://w3id.org/italo/data/la-luna,La Luna,https://w3id.org/odi/Representation,una terra oramai lunare
http://w3id.org/italo/data/la-luna,La Luna,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation,una terra oramai lunare
http://w3id.org/italo/data/il-matto,Il Matto,https://w3id.org/golem/ontologyG1_Character,"Sfogato ormai il più grosso groppo di furore, [...] con la testa piena di penne [...] ecco che Orlando era disceso giù nel cuore caotico delle cose, [...] al punto d'intersezione di tutti gli ordini possibili."
http://w3id.org/italo/data/il-matto,Il Matto,https://w3id.org/odi/Representation,"Sfogato ormai il più grosso groppo di furore, [...] con la testa piena di penne [...] ecco che Orlando era disceso giù nel cuore caotico delle cose, [...] al punto d'intersezione di tutti gli ordini possibili."
http://w3id.org/italo/data/il-matto,Il Matto,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation,"Sfogato ormai il più grosso groppo di furore, [...] con la testa piena di penne [...] ecco che Orlando era disceso giù nel cuore caotico delle cose, [...] al punto d'intersezione di tutti gli ordini possibili."
http://w3id.org/italo/data/tre-di-coppe,Tre di Coppe,https://w3id.org/golem/ontologyG16_Object,La sua ragione? [...] un'ampolla custodita nella Valle delle Ragioni Perdute
http://w3id.org/italo/data/tre-di-coppe,Tre di Coppe,https://w3id.org/odi/Representation,La sua ragione? [...] un'ampolla custodita nella Valle delle Ragioni Perdute
http://w3id.org/italo/data/tre-di-coppe,Tre di Coppe,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation,La sua ragione? [...] un'ampolla custodita nella Valle delle Ragioni Perdute
http://w3id.org/italo/data/la-giustizia,La Giustizia,https://w3id.org/golem/ontologyG1_Character,"i cavalieri dell'Armata di Carlomagno seguivano le piste del loro campione [...], non rinunciavano a riportare la sua spada al servizio di Ragione e Giustizia."
http://w3id.org/italo/data/la-giustizia,La Giustizia,https://w3id.org/odi/Representation,"i cavalieri dell'Armata di Carlomagno seguivano le piste del loro campione [...], non rinunciavano a riportare la sua spada al servizio di Ragione e Giustizia."
http://w3id.org/italo/data/la-giustizia,La Giustizia,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation,"i cavalieri dell'Armata di Carlomagno seguivano le piste del loro campione [...], non rinunciavano a riportare la sua spada al servizio di Ragione e Giustizia."
http://w3id.org/italo/data/il-penduto,Il Penduto,https://w3id.org/golem/ontologyG1_Character,Il paladino legato a testa in giù [...] Lasciatemi così. Ho fatto tutto il giro e ho capito. Il mondo si legge all'incontrario. Tutto è chiaro.
http://w3id.org/italo/data/il-penduto,Il Penduto,https://w3id.org/odi/Representation,Il paladino legato a testa in giù [...] Lasciatemi così. Ho fatto tutto il giro e ho capito. Il mondo si legge all'incontrario. Tutto è chiaro.
http://w3id.org/italo/data/il-penduto,Il Penduto,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Situation,Il paladino legato a testa in giù [...] Lasciatemi così. Ho fatto tutto il giro e ho capito. Il mondo si legge all'incontrario. Tutto è chiaro.
