tarotCard,cardLabel
http://w3id.org/italo/data/il-carro,Il Carro
http://w3id.org/italo/data/lo-amore,L'Amore
http://w3id.org/italo/data/la-luna,La Luna
http://w3id.org/italo/data/il-matto,Il Matto
