desmos:SemanticConstraint,rdfs:label,desmos:hasVisibility,desmos:hasDegreeOfComplexity,desmos:involvesOperation
lipophony_const,Lipofonia,visible_explicity,soft,soustraction
mazzo-il-castello-dei-destini-incrociati,Mazzo di carte,visible_explicity,soft,displacement
